chart_id,chosen_label,chosen_value,correct_median,correct,trial_file
bar_vertical_15,5,96,59,FALSE,trial6.csv
pie_19,3,56,56,TRUE,trial6.csv
bar_horizontal_01,4,82,75,FALSE,trial6.csv
bar_horizontal_15,5,88,68,FALSE,trial6.csv
bar_horizontal_19,4,75,50,FALSE,trial6.csv
bar_horizontal_12,4,38,38,TRUE,trial6.csv
bar_vertical_06,5,68,68,true,trial7.csv
pie_17,3,57,53,false,trial7.csv
bar_horizontal_08,3,68,48,false,trial7.csv
pie_11,4,61,50.5,false,trial7.csv
bar_horizontal_05,5,32,29,false,trial7.csv
bar_horizontal_11,4,54,61.5,false,trial7.csv
bar_horizontal_20,4,72,55,false,trial7.csv
bar_horizontal_04,3,29,29,true,trial7.csv
bar_horizontal_07,7,50,51,false,trial7.csv
pie_01,4,23,23,true,trial7.csv
bar_vertical_09,3,55,46,false,trial7.csv
bar_horizontal_14,5,77,77,true,trial7.csv
bar_vertical_03,4,73,73,true,trial7.csv
bar_vertical_18,9,32,32,true,trial7.csv
bar_vertical_16,4,56,56,true,trial7.csv
bar_vertical_10,4,42,49,false,trial7.csv
pie_05,4,71,71,true,trial7.csv
bar_horizontal_10,4,46,42.5,false,trial7.csv
bar_horizontal_09,3,65,65,true,trial7.csv
pie_20,4,53,53,true,trial7.csv
pie_14,2,83,54,false,trial7.csv
bar_horizontal_13,2,72,72,true,trial7.csv
pie_03,3,66,56,false,trial7.csv
pie_10,2,61,35,false,trial7.csv
pie_08,6,57,72,false,trial7.csv
bar_horizontal_03,4,70,57,false,trial7.csv
pie_09,3,26,41,false,trial7.csv
pie_13,2,59,59,true,trial7.csv
pie_02,1,36,37.5,false,trial7.csv
bar_horizontal_02,5,70,71,false,trial7.csv
bar_vertical_02,1,40,45.5,false,trial7.csv
bar_vertical_11,4,73,73,true,trial7.csv
bar_vertical_13,4,59,59,true,trial7.csv
bar_horizontal_16,1,43,46,false,trial7.csv
bar_vertical_14,2,18,18,true,trial7.csv
pie_06,4,47,60,false,trial7.csv
bar_vertical_01,5,59,54.5,false,trial7.csv
bar_vertical_08,5,56,58,false,trial7.csv
bar_horizontal_06,6,54,53,false,trial7.csv
pie_16,3,66,39,false,trial7.csv
bar_vertical_19,1,62,62,true,trial7.csv
pie_18,6,56,56,true,trial7.csv
bar_vertical_20,3,43,43,true,trial7.csv
bar_vertical_17,7,56,49.5,false,trial7.csv
bar_horizontal_17,5,46,46,true,trial7.csv
bar_vertical_07,1,58,68.5,false,trial7.csv
bar_horizontal_18,2,64,70,false,trial7.csv
bar_vertical_05,6,44,46,false,trial7.csv
bar_vertical_04,7,45,45,true,trial7.csv
pie_15,6,27,36.5,false,trial7.csv
pie_12,2,35,35,true,trial7.csv
bar_vertical_12,1,32,32,true,trial7.csv
pie_04,6,29,29,true,trial7.csv
pie_07,5,41,41,true,trial7.csv
bar_vertical_15,7,65,59,false,trial7.csv
pie_19,3,56,56,true,trial7.csv
bar_horizontal_01,2,73,75,false,trial7.csv
bar_horizontal_15,3,70,68,false,trial7.csv
bar_horizontal_19,9,50,50,true,trial7.csv
bar_horizontal_12,4,38,38,true,trial7.csv
bar_vertical_06,5,68,68,true,trial8.csv
pie_17,6,94,53,false,trial8.csv
bar_horizontal_08,4,28,48,false,trial8.csv
pie_11,4,61,50.5,false,trial8.csv
bar_horizontal_05,6,82,29,false,trial8.csv
bar_horizontal_11,6,56,61.5,false,trial8.csv
bar_horizontal_20,4,72,55,false,trial8.csv
bar_horizontal_04,5,33,29,false,trial8.csv
bar_horizontal_07,5,96,51,false,trial8.csv
pie_01,5,64,23,false,trial8.csv
bar_vertical_09,6,73,46,false,trial8.csv
bar_horizontal_14,3,86,77,false,trial8.csv
bar_vertical_03,5,19,73,false,trial8.csv
bar_vertical_18,4,22,32,false,trial8.csv
bar_vertical_16,5,98,56,false,trial8.csv
bar_vertical_10,3,66,49,false,trial8.csv
pie_05,3,25,71,false,trial8.csv
bar_horizontal_10,6,35,42.5,false,trial8.csv
bar_horizontal_09,4,97,65,false,trial8.csv
pie_20,6,14,53,false,trial8.csv
pie_14,3,31,54,false,trial8.csv
bar_horizontal_13,4,81,72,false,trial8.csv
pie_03,4,69,56,false,trial8.csv
pie_10,5,85,35,false,trial8.csv
pie_08,4,79,72,false,trial8.csv
bar_horizontal_03,5,57,57,true,trial8.csv
pie_09,4,94,41,false,trial8.csv
pie_13,1,73,59,false,trial8.csv
pie_02,3,93,37.5,false,trial8.csv
bar_horizontal_02,3,69,71,false,trial8.csv
bar_vertical_02,5,19,45.5,false,trial8.csv
bar_vertical_11,3,94,73,false,trial8.csv
bar_vertical_13,5,33,59,false,trial8.csv
bar_horizontal_16,4,38,46,false,trial8.csv
bar_vertical_14,4,92,18,false,trial8.csv
pie_06,3,93,60,false,trial8.csv
bar_vertical_01,7,100,54.5,false,trial8.csv
bar_vertical_08,4,22,58,false,trial8.csv
bar_horizontal_06,4,94,53,false,trial8.csv
pie_16,6,91,39,false,trial8.csv
bar_vertical_19,6,87,62,false,trial8.csv
pie_18,3,96,56,false,trial8.csv
bar_vertical_20,4,96,43,false,trial8.csv
bar_vertical_17,5,93,49.5,false,trial8.csv
bar_horizontal_17,2,62,46,false,trial8.csv
bar_vertical_07,5,86,68.5,false,trial8.csv
bar_horizontal_18,3,90,70,false,trial8.csv
bar_vertical_05,5,48,46,false,trial8.csv
bar_vertical_04,5,79,45,false,trial8.csv
pie_15,5,88,36.5,false,trial8.csv
pie_12,5,59,35,false,trial8.csv
bar_vertical_12,4,92,32,false,trial8.csv
pie_04,7,41,29,false,trial8.csv
pie_07,2,60,41,false,trial8.csv
bar_vertical_15,5,96,59,false,trial8.csv
pie_19,9,57,56,false,trial8.csv
